,family,dt name,sc name,cat,bemerkungen,einteilung,untergruppe
189,Finkenvögel (Fringillidae),Fichtenkreuzschnabel,Loxia curvirostra L.,LC,,Vögel,Singvögel
190,Finkenvögel (Fringillidae),Karmingimpel*,Carpodacus erythrinus (Pall.),VU,,Vögel,Singvögel
191,Finkenvögel (Fringillidae),Gimpel,Pyrrhula pyrrhula (L.),LC,,Vögel,Singvögel
192,Finkenvögel (Fringillidae),Kernbeisser,Coccothraustes coccothraustes (L.),LC,,Vögel,Singvögel
193,Ammern (Emberizidae),Goldammer,Emberiza citrinella L.,LC,,Vögel,Singvögel
194,Ammern (Emberizidae),Zaunammer,Emberiza cirlus L.,NT,,Vögel,Singvögel
195,Ammern (Emberizidae),Zippammer,Emberiza cia L.,LC,,Vögel,Singvögel
196,Ammern (Emberizidae),Ortolan,Emberiza hortulana L.,CR,,Vögel,Singvögel
197,Ammern (Emberizidae),Rohrammer,Emberiza schoeniclus (L.),VU,,Vögel,Singvögel
198,Ammern (Emberizidae),Grauammer,Emberiza calandra L.,VU,,Vögel,Singvögel
