family,sc name,dt name,cat,bemerkungen,einteilung,Untergruppe
Landschnecken,Zoogenetes harpa,Harfenschnecke,EN,"Säume, Wälder",Weichtiere,Landschnecken
Wasserschnecken,Anisus spirorbis,Gelippte Tellerschnecke,EN,Moore,Weichtiere,Wasserschnecken
Wasserschnecken,Anisus vortex,Scharfe Tellerschnecke,VU,Stehgewässer und Moore,Weichtiere,Wasserschnecken
Wasserschnecken,Anisus vorticulus,Zierliche Tellerschnecke,EN,Pflanzenreiche Stehgewässer,Weichtiere,Wasserschnecken
Wasserschnecken,Aplexa hypnorum,Moosblasenschnecke,NT,Seeufer und Moore,Weichtiere,Wasserschnecken
Wasserschnecken,Bithynia leachii,Kleine Schnauzenschnecke,EN,Ufer der grossen Seen und Flüsse,Weichtiere,Wasserschnecken
Wasserschnecken,Bythinella padana,Schmidts Quellschnecke,VU,"Quellen, Tessin",Weichtiere,Wasserschnecken
Wasserschnecken,Bythinella pupoides,Puppen-Quellschnecke,NT,Quellen und unterirdische Grundwasser,Weichtiere,Wasserschnecken
Wasserschnecken,Bythiospeum alpinum,Alpen-Brunnenschnecke,VU,"Quellen und unterirdische Gewässer, endemisch",Weichtiere,Wasserschnecken
Wasserschnecken,Bythiospeum charpyi,Charpys Brunnenschnecke,NT,Quellen und unterirdische Gewässer,Weichtiere,Wasserschnecken
Wasserschnecken,Bythiospeum francomontanum,Freiberger Brunnenschnecke,NT,Quellen und unterirdische Gewässer,Weichtiere,Wasserschnecken
Wasserschnecken,Bythiospeum rhenanum,Oberrheinische Brunnenschnecke,VU,Quellen und unterirdische Grundwasser,Weichtiere,Wasserschnecken
Wasserschnecken,Bythiospeum sterkianum,Sterkis Brunnenschnecke,NT,Quellen und unterirdische Gewässer,Weichtiere,Wasserschnecken
Wasserschnecken,Graziana quadrifoglio,Vierblatt-Zwergdeckelschnecke,VU,"Quellen und unterirdische Gewässer, endemisch",Weichtiere,Wasserschnecken
Wasserschnecken,Gyraulus acronicus,Verbogenes Posthörnchen,EN,Kiesiger Grund der Seen und grossen Fliessgewässer,Weichtiere,Wasserschnecken
Wasserschnecken,Gyraulus crista,Zwergposthörnchen,NT,"Seen, kleine Stehgewässer und Moore",Weichtiere,Wasserschnecken
Wasserschnecken,Gyraulus laevis,Glattes Posthörnchen,VU,Steh- und Fliessgewässer,Weichtiere,Wasserschnecken
Wasserschnecken,Islamia minuta,Rundmundige Quellschnecke,NT,Quellen und unterirdische Gewässer,Weichtiere,Wasserschnecken
Wasserschnecken,Marstoniopsis insubrica,Insubrische Zwergdeckelschnecke,RE,"Uferzone der Stehgewässer, letzter Nachweis 1957",Weichtiere,Wasserschnecken
Wasserschnecken,Physa fontinalis,Quell-Blasenschnecke,VU,"Kaltgewässer der Seen, Fliessgewässer und Quellen",Weichtiere,Wasserschnecken
Wasserschnecken,Radix ampla,Weitmündige Schlammschnecke,VU,Geschützte See- und Flussufer,Weichtiere,Wasserschnecken
Wasserschnecken,Segmentina nitida,Glänzende Tellerschnecke,VU,Seeufer und Moore und Gräben mit organischem Schlamm,Weichtiere,Wasserschnecken
Wasserschnecken,Theodoxus fluviatilis,Gemeine Kahnschnecke,CR,Steh- und Fliessgewässer,Weichtiere,Wasserschnecken
Wasserschnecken,Valvata macrostoma,Stumpfe Federkiemenschnecke,EN,Auengebiete der grossen Fliessgewässer,Weichtiere,Wasserschnecken
Wasserschnecken,Valvata studeri,Bayerische Federkiemenschnecke,EN,Moore in Kontakt mit grossen Seen und Flüssen,Weichtiere,Wasserschnecken
Wasserschnecken,Viviparus contectus,Spitze Sumpfdeckelschnecke,EN,Weiher und Auengebiete der grossen Fliessgewässer,Weichtiere,Wasserschnecken
Süsswassermuscheln,Anodonta anatina,Flache Teichmuschel,VU,"Seeufer, Altwässer",Weichtiere,Muscheln
Süsswassermuscheln,Anodonta sp.,,EN,"Seeufer, Altwässer",Weichtiere,Muscheln
Süsswassermuscheln,Microcondylaea compressa,Kleinzahn-Flussmuschel,RE,"Einziger Nachweis aus dem Jahre 1923. Seeufer, Atlwässer",Weichtiere,Muscheln
Süsswassermuscheln,Pisidium amnicum,Grosse Erbsenmuschel,NT,Sandiger bis lehmiger Grund der Seen und Flüsse,Weichtiere,Muscheln
Süsswassermuscheln,Pisidium conventus,See-Erbsenmuschel,VU,Kaltgewässer der grossen Seen und alpinen Stehgewässer,Weichtiere,Muscheln
Süsswassermuscheln,Pisidium hibernicum,Glatte Erbsenmuschel,NT,"Seen, Weiher, Flüsse und Kanäle",Weichtiere,Muscheln
Süsswassermuscheln,Pisidium lilljeborgii,Kreisrunde Erbsenmuschel,VU,Sauerstoffreiche Uferzonen der grossen Seen,Weichtiere,Muscheln
Süsswassermuscheln,Pisidium obtusale,Stumpfe Erbsenmuschel,NT,"Seeufer, Weiher und Moore",Weichtiere,Muscheln
Süsswassermuscheln,Pisidium pseudosphaerium,Kugelige Erbsenmuschel,EN,Weiher und Moore der Tieflagen,Weichtiere,Muscheln
Süsswassermuscheln,Pisidium supinum,Dreieckige Erbsenmuschel,NT,Sandiger bis lehmiger Grund der Seen und Flüsse,Weichtiere,Muscheln
Süsswassermuscheln,Pisidium tenuilineatum,Kleinste Erbsenmuschel,VU,Fliessgewässer und phosphatarme Uferzonen,Weichtiere,Muscheln
Süsswassermuscheln,Unio crassus,Gemeine Bachmuschel,CR,"Sehr saubere Gewässer: Gräben, Bäche, Flüsse, Seeufer",Weichtiere,Muscheln
Süsswassermuscheln,Unio pictorum mancus,Südliche Malermuschel,EN,"Seeufer (Schlamm/Sand), Altwässer",Weichtiere,Muscheln
Süsswassermuscheln,Unio pictorum pictorum,Malermuschel,EN,"Seeufer (Sand, Feinkies), Altwässer",Weichtiere,Muscheln
Süsswassermuscheln,Unio tumidus,Aufgeblasene Flussmuschel,EN,"Seeufer (Schlamm/Sand), Altwässer",Weichtiere,Muscheln
