Art,CH
Scoliciosporum umbrinum (Ach.) Arnold 1871,LC
Sphaerophorus globosus (Hudson) Vainio 1903,VU
Sphaerophorus melanocarpus (Sw.) DC. 1815,CR
Sticta fuliginosa (Hoffm.) Ach. 1803,CR
Sticta limbata (Sm.) Ach. 1803,CR
Sticta sylvatica (Huds.) Ach. 1803,VU
Strangospora deplanata (Almq.) Clauzade & Roux 1985,CR
Strangospora moriformis (Ach.) B.Stein 1879,LC
Strangospora ochrophora (Nyl.) R.Anderson 1975,VU
Strangospora pinicola (A. Massal.) Körber 1860,VU
Strigula glabra (A. Massal.) R.C.Harris 1980,VU
Strigula jamesii (Swinscow) R.C.Harris 1980,VU
Strigula mediterranea Etayo,CR
Strigula stigmatella (Ach.) R.C.Harris 1980,LC
Teloschistes chrysophthalmus (L.) Th.Fr. 1860,RE
Tephromela atra (Hudson) Hafellner 1983,NT
Thelenella modesta (Nyl.) Nyl. 1855,CR
Thelopsis flaveola Arnold 1873,EN
Thelopsis rubella Nyl. 1855,EN
Thelotrema lepadinum (Ach.) Ach. 1803,VU
Trapelia corticola Coppins & P.James 1984,VU
Trapeliopsis flexuosa (Fr.) Coppins & P.James 1984,LC
Usnea cavernosa Tuck. 1850,NT
Usnea ceratina Ach. 1810,VU
Usnea cornuta Körber1859,CR
Usnea diplotypus Vainio 1934,LC
Usnea filipendula Stirton 1881,NT
Usnea florida (L.) Wigg. 1780,EN
Usnea fulvoreagens (Räsänen) Räsänen 1935,VU
Usnea glabrata (Ach.) Vainio 1915,EN
Usnea glabrescens (Vainio) Vainio 1925,VU
Usnea hirta (L.) Wigg. 1780,LC
Usnea lapponica Vainio 1920,LC
Usnea longissima Ach. 1810,CR
Usnea madeirensis Motyka 1964,EN
Usnea prostrata Vainio s.l. 1921,LC
Usnea rigida (Ach.) Motyka s.l. 1936,VU
Usnea scabrata Nyl. 1873,LC
Usnea subfloridana Stirton 1882,LC
Usnea substerilis Motyka 1930,LC
Usnea wasmuthii Räsänen 1932,EN
Vezdaea aestivalis (Ohl.) Tsch.-Woess & Poelt 1976,LC
Vezdaea stipitata Poelt & Döbbeler 1975,VU
Varicellaria rhodocarpa (Körber) Th.Fr. 1871,NT
Vulpicida pinastri (Scop.) Mattson & Lai 1993,LC
Xanthoria candelaria (L.) Th.Fr. 1861,LC
Xanthoria fallax (Hepp) Arnold 1880,LC
Xanthoria fulva (Hoffm.) Poelt & Petutschnig 1992,NT
Xanthoria parietina (L.) Th.Fr. 1860,LC
Xanthoria polycarpa (Hoffm.) Rieber 1891,LC
Xanthoria ulophyllodes Räsänen 1931,NT
Xylographa minutula Körber 1861,DD
aff. Biatora areolata Kreyer 1913,EN
aff. Lecania cyrtellina (Nyl.) Sandst. 1912,VU
aff. Pyrrhospora quernea (Dickson) Körber 1855,VU
Zamenhofia hibernica (P. James & Swinscow) Clauzade &Roux 1985,EN
