ORDER,FAMILY,Artname,N,S,CH,Bemerkungen
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),M. dorsalis PER.,-,0,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),M. flabellipes PER.,-,4,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),M. genalis MOR.,-,0,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),M. lagopoda (L.),0,4,1,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),M. ligniseca (K.),3,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),M. maritima (K.),2,n,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),M. parietina (FOUR.),1,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),M. pilidens ALFK.,3,n,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),M. rotundata (F.),1,4,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Osmia acuticornis DUF.,-,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),0. anthocopoides (SCHCK.),2,n,3,auf Echiurri
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),0. brevicornis (F.),3,3,3,auf Cruciferae
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),"0. fulviventris (PZ.) ,",3,n,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),0. gallarum SPIN.,I,n,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),0.l atreillei SPIN.,-,0,0,früher Kt. Genf
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),0. lepeletieri PER,0,3,3,auf Echium
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),0. Iigurica MOR,-,0,0,früher Kt. Genf
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),0. mucida (DOURS.),-,0,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),0. papaveris (LATR.),-,0,0,früher um Genfersee
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),0. pilicornis SM.,3,3,3,Mangel an Totholz
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),0. rufohirta LATR.,3,n,3,Trockenrasen
