Unnamed: 0,Addresse,Lat,Lng,Name,Rating,Points,geometry
2226,"Steinbachstrasse 10, 3123 Belp, Switzerland",46.8952262,7.4967397,Belper Pizza Kurier,4.3,POINT (7.4967397 46.8952262),POINT (7.4967397 46.8952262)
2228,"Bernstrasse 20, 3125 Bern, Toffen, Switzerland",46.8617757,7.490474899999999,Pizzeria L Olivo,3.9,POINT (7.490474899999999 46.8617757),POINT (7.490474899999999 46.8617757)
2232,"Rubigenstrasse 77, 3076 Worb, Switzerland",46.9155911,7.564866599999998,Restaurant Worb Bahnhof,4.4,POINT (7.564866599999998 46.9155911),POINT (7.564866599999998 46.9155911)
2233,"Enggisteinstrasse 16A, 3076 Worb, Switzerland",46.9300286,7.5647033,eisblume,4.6,POINT (7.5647033 46.9300286),POINT (7.5647033 46.9300286)
2234,"Bernstrasse 30, 3076 Worb, Switzerland",46.928026200000005,7.561416,Hotel Restaurant Sternen Worb,4.2,POINT (7.561416 46.92802620000001),POINT (7.561416 46.92802620000001)
2235,"Enggisteinstrasse 3, 3076 Worb, Switzerland",46.930438,7.5634728,Gasthof zum Löwen Worb,4.1,POINT (7.5634728 46.930438),POINT (7.5634728 46.930438)
2236,"Sportweg 10, 3076 Worb, Switzerland",46.9262571,7.562413999999999,Wisle Restaurant,4.5,POINT (7.562413999999999 46.9262571),POINT (7.562413999999999 46.9262571)
2237,"Richigenstrasse 1, 3076 Worb, Switzerland",46.9265055,7.564885200000001,Migros Restaurant,4.0,POINT (7.564885200000001 46.9265055),POINT (7.564885200000001 46.9265055)
2238,"Heistrich 293, 3068 Vechigen, Switzerland",46.9498484,7.5887281999999985,Restaurant Rössli Heistrich,4.6,POINT (7.588728199999998 46.9498484),POINT (7.588728199999998 46.9498484)
2240,"Dentenberg 83, 3076 Worb, Switzerland",46.943479700000005,7.533028499999999,Restaurant Dentenberg,4.8,POINT (7.533028499999999 46.9434797),POINT (7.533028499999999 46.9434797)
2242,"Rüttihubel 29, 3512 Walkringen, Switzerland",46.9395454,7.5980991,Restaurant Rüttihubelbad,4.3,POINT (7.5980991 46.9395454),POINT (7.5980991 46.9395454)
2249,"Klotenerstrasse 25, 8303 Bassersdorf, Switzerland",47.44396679999999,8.6265316,Restaurant La Botte,4.7,POINT (8.6265316 47.44396679999999),POINT (8.6265316 47.44396679999999)
2250,"Klotenerstrasse 50, 8303 Bassersdorf, Switzerland",47.444891999999996,8.6243635,Ristorante Pizzeria Barone,4.4,POINT (8.624363499999999 47.444892),POINT (8.624363499999999 47.444892)
2252,"Poststrasse 2, 8303 Bassersdorf, Switzerland",47.4428815,8.6314662,Basi Pizzakurrier,4.0,POINT (8.6314662 47.4428815),POINT (8.6314662 47.4428815)
2260,"Marktgasse 19, 8302 Kloten, Switzerland",47.4499851,8.5845065,Pizzeria Giardino,4.3,POINT (8.5845065 47.4499851),POINT (8.5845065 47.4499851)
2262,"Klotenerstrasse 39, 8303 Bassersdorf, Switzerland",47.444449,8.624914,Mare&Monti Ristorante Pizzeria Hotel,4.2,POINT (8.624914 47.444449),POINT (8.624914 47.444449)
2263,"Pinnacle House, 604, 15th Rd, P D Hinduja Junction, Mumbai, Maharashtra 400050, India",19.0681938,72.8316542,Arth - Restaurant & Lounge,4.1,POINT (72.8316542 19.0681938),POINT (72.8316542 19.0681938)
2264,"Kempttalstrasse 8, 8330 Pfäffikon, Switzerland",47.36743,8.781861,Cucina piccante,4.7,POINT (8.781860999999999 47.36743),POINT (8.781860999999999 47.36743)
2267,"Walderstrasse 3, 8340 Hinwil, Switzerland",47.302445500000005,8.8439827,Ristorante Pizzeria Vecchia Posta,4.5,POINT (8.8439827 47.3024455),POINT (8.8439827 47.3024455)
2273,"Usterstrasse 105, 8330 Pfäffikon, Switzerland",47.3597241,8.759710799999999,Restaurant Krone Faichrüti,4.5,POINT (8.759710799999999 47.3597241),POINT (8.759710799999999 47.3597241)
2275,"Seestrasse 1, 8330 Pfäffikon, Switzerland",47.366934,8.782228,Restaurant Kam Yu,4.7,POINT (8.782228 47.366934),POINT (8.782228 47.366934)
2277,"Höhenstrasse 7, 8330 Pfäffikon, Switzerland",47.37859,8.805209999999997,Restaurant Alpenrösli,4.4,POINT (8.805209999999997 47.37859),POINT (8.805209999999997 47.37859)
2278,"Seestrasse 41, 8330 Pfäffikon, Switzerland",47.365815999999995,8.781711900000001,Restaurant Brauerei,4.3,POINT (8.781711900000001 47.365816),POINT (8.781711900000001 47.365816)
2279,"Usterstrasse 8, 8330 Pfäffikon, Switzerland",47.3658368,8.781143499999999,Gasthof Hecht,4.2,POINT (8.781143499999999 47.3658368),POINT (8.781143499999999 47.3658368)
2281,"Speerstrasse 15, 8330 Pfäffikon, Switzerland",47.3693666,8.771075999999999,Schneiders Quer AG,3.6,POINT (8.771075999999999 47.3693666),POINT (8.771075999999999 47.3693666)
2282,"Usterstrasse 105, 8330 Pfäffikon, Switzerland",47.3597014,8.759674100000002,"Faichrüti, Pfäffikon",4.0,POINT (8.759674100000002 47.3597014),POINT (8.759674100000002 47.3597014)
2284,"Turmstrasse 7, 8330 Pfäffikon, Switzerland",47.368173999999996,8.781838,Bar Amalfi,4.4,POINT (8.781838 47.368174),POINT (8.781838 47.368174)
2285,"Hörnlistrasse 76, 8330 Pfäffikon, Switzerland",47.36703,8.79059,Pflegezentrum GerAtrium,4.7,POINT (8.79059 47.36703),POINT (8.79059 47.36703)
2287,"Jakob Stutz-Strasse 100, 8335 Hittnau, Switzerland",47.3612996,8.823645899999997,Gasthaus zum Wildenmann,4.8,POINT (8.823645899999997 47.3612996),POINT (8.823645899999997 47.3612996)
2293,"Dorfstrasse 25, 8608 Bubikon, Switzerland",47.2712276,8.821891099999998,Bahnhöfli Restaurant,4.3,POINT (8.821891099999998 47.2712276),POINT (8.821891099999998 47.2712276)
2295,"Im Halbiacker 7, 8352 Räterschen, Switzerland",47.50190600000001,8.784773699999999,Club dei Sogni,4.7,POINT (8.784773699999999 47.50190600000001),POINT (8.784773699999999 47.50190600000001)
2296,"Dorfstrasse 23, 8607 Seegräben, Switzerland",47.343895399999994,8.7726758,Juckerfarm,4.5,POINT (8.7726758 47.34389539999999),POINT (8.7726758 47.34389539999999)
2299,"51 Tösstalstrasse, 8623 Wetzikon, Switzerland",47.3325551,8.8163892,Restaurant Talhof,4.0,POINT (8.8163892 47.3325551),POINT (8.8163892 47.3325551)
2301,"Adetswilerstrasse 42, 8345 Bäretswil, Switzerland",47.339453000000006,8.840455,Ristorante Pizzeria Fiorentina Adetswil,4.4,POINT (8.840455 47.33945300000001),POINT (8.840455 47.33945300000001)
2303,"Tösstalstrasse 1, 8623 Wetzikon, Switzerland",47.3329391,8.812098599999997,Caniga Gastronomie Wetzikon,0.0,POINT (8.812098599999997 47.3329391),POINT (8.812098599999997 47.3329391)
2305,"Gerbergasse 7, 9450 Altstätten, Switzerland",47.3779,9.538007,Angolo dei Sapori - Klostermuhle Ristorante Pizzeria Piadineria,4.3,POINT (9.538007 47.3779),POINT (9.538007 47.3779)
2306,"Trogenerstrasse 61, 9450 Altstätten, Switzerland",47.3845544,9.5374319,Restaurant La Fontanella,4.1,POINT (9.5374319 47.3845544),POINT (9.5374319 47.3845544)
2307,"Heidenerstrasse 36, 9450 Altstätten, Switzerland",47.383511600000006,9.5439101,Circolo Italiano,4.5,POINT (9.5439101 47.38351160000001),POINT (9.5439101 47.38351160000001)
2309,"Worblentalstrasse 46, 3063 Ittigen, Switzerland",46.97606589999999,7.474838799999999,Ristorante Pizzeria Bernese,4.5,POINT (7.474838799999999 46.97606589999999),POINT (7.474838799999999 46.97606589999999)
2310,"Talgut-Zentrum 7, 3063 Ittigen, Switzerland",46.9743359,7.483379899999999,Badhaus,4.0,POINT (7.483379899999999 46.9743359),POINT (7.483379899999999 46.9743359)
