Id,Label,Date,Image,followers_count,friends_count
620197067,nadhuberson,Wed Jun 27 17:45:41 +0000 2012,https://pbs.twimg.com/profile_images/1034578533207695360/PQC_ZP_Y_normal.jpg,664,776
624668875,OpenDataZurich,Mon Jul 02 13:26:16 +0000 2012,https://pbs.twimg.com/profile_images/879994650420969472/9LgTogJG_normal.jpg,6656,4262
70380613,geoObserver_,Mon Aug 31 12:29:47 +0000 2009,https://pbs.twimg.com/profile_images/863357128379179008/SFlsoWb1_normal.jpg,617,847
708622213780480000,linaschreibt,Sat Mar 12 11:54:36 +0000 2016,https://pbs.twimg.com/profile_images/1043515650050863106/4V0fj2Pd_normal.jpg,4781,3613
712056426177421313,B757pics,Mon Mar 21 23:20:56 +0000 2016,https://pbs.twimg.com/profile_images/714236912920313856/qRBe4bA5_normal.jpg,244,113
717784448,FC_Basel_en,Thu Jul 26 09:39:14 +0000 2012,https://pbs.twimg.com/profile_images/1062843895162290176/UcsilJXs_normal.jpg,23028,52
720352675,mGTS85,Fri Jul 27 15:29:00 +0000 2012,https://pbs.twimg.com/profile_images/1070386159082192899/cAEDhrfH_normal.jpg,2827,1004
72072706,MD80com,Sun Sep 06 16:48:23 +0000 2009,https://pbs.twimg.com/profile_images/1973701917/Ohne-Titel-1_normal.gif,4294,2519
722576059,reiss_gabi,Sat Jul 28 17:54:25 +0000 2012,https://pbs.twimg.com/profile_images/1070726481914007552/3KqNx9vC_normal.jpg,62,192
724288337012387840,Miltong1976,Sun Apr 24 17:26:10 +0000 2016,https://pbs.twimg.com/profile_images/724292447983947776/HQQRjEjg_normal.jpg,590,1396
748570964439490560,LSportCH,Thu Jun 30 17:36:40 +0000 2016,https://pbs.twimg.com/profile_images/1020311625553924097/Nm12qg9X_normal.jpg,418,414
756536297364320256,UrsSprenger,Fri Jul 22 17:08:03 +0000 2016,https://pbs.twimg.com/profile_images/756538360756375552/tN_SSKj2_normal.jpg,400,1631
757293523,srfzuerich,Tue Aug 14 14:48:51 +0000 2012,https://pbs.twimg.com/profile_images/990963173284073472/whKyvQoC_normal.jpg,6303,2813
764176997090267136,hjboesch,Fri Aug 12 19:09:28 +0000 2016,https://pbs.twimg.com/profile_images/1043939690699722757/HN3glamt_normal.jpg,471,89
765272280024965120,Baselinfo2,Mon Aug 15 19:41:44 +0000 2016,https://pbs.twimg.com/profile_images/980902413984026625/poitHFNT_normal.jpg,808,740
76653252,operzuerich,Wed Sep 23 14:14:06 +0000 2009,https://pbs.twimg.com/profile_images/2537613417/tiwhbpr39oo1cwjdfi3y_normal.jpeg,23144,7810
767675409336897536,NVSData,Mon Aug 22 10:50:55 +0000 2016,https://pbs.twimg.com/profile_images/767676905025712128/3PQZQ0O__normal.jpg,1664,293
775904053,lenomty,Thu Aug 23 12:51:36 +0000 2012,https://pbs.twimg.com/profile_images/984792332376604673/WV88d2le_normal.jpg,180,235
778497337,WalterAngst,Fri Aug 24 16:14:11 +0000 2012,https://pbs.twimg.com/profile_images/2575979165/tbsn09dxmjvyjvrzua50_normal.jpeg,501,339
