GROUP,ORDER,FAMILY,GENUS,SPECIES SSP,Scientific name,Deutscher Name,CAT,Criteria,Bemerkungen
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,suvorovi,"Agrilus suvorovi Obenberger, 1935",Blauer Pappel-Prachtkäfer,NT,,
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,viridicaerulans,"Agrilus viridicaerulans Marseul, 1868",,LC,,
4 familles de coléoptères,Coleoptera,Buprestidae,Agrilus,viridis,"Agrilus viridis (Linnaeus, 1758)",Buchen-Prachtkäfer,LC,,
4 familles de coléoptères,Coleoptera,Buprestidae,Anthaxia,candens,"Anthaxia candens (Panzer, 1789)",Bunter Kirschbaum-Prachtkäfer,VU,"B2ab(ii,iii,iv)",
4 familles de coléoptères,Coleoptera,Buprestidae,Anthaxia,chevrieri,"Anthaxia chevrieri Gory & Laporte, 1839",,VU,"B2ab(i,ii,iii,iv)","Nur in den Südalpen (Tessin, Graubünden)"
4 familles de coléoptères,Coleoptera,Buprestidae,Anthaxia,cichorii,"Anthaxia cichorii (Olivier, 1790)",Zichorien-Prachtkäfer,CR,"B2ab(i,ii,iii,iv)",Zurzeit nur noch im Tessin
4 familles de coléoptères,Coleoptera,Buprestidae,Anthaxia,fulgurans,"Anthaxia fulgurans (Schrank, 1789)",Fleckhals-Prachtkäfer,EN,"B2ab(i,ii,iii,iv)",Nur in den Südalpen (Südtessin)
4 familles de coléoptères,Coleoptera,Buprestidae,Anthaxia,godeti,"Anthaxia godeti Gory & Laporte, 1839",,LC,,
4 familles de coléoptères,Coleoptera,Buprestidae,Anthaxia,helvetica,"Anthaxia helvetica Stierlin, 1868",Schweizer-Prachtkäfer,LC,,
4 familles de coléoptères,Coleoptera,Buprestidae,Anthaxia,istriana,"Anthaxia istriana Rosenhauer, 1847",,VU,B2b(iii),"Nur im Wallis, isolierte Schweizer Population"
4 familles de coléoptères,Coleoptera,Buprestidae,Anthaxia,manca,"Anthaxia manca (Linnaeus, 1767)",Kleiner Ulmen-Prachtkäfer,EN,"B2ab(i,ii,iii,iv)",
4 familles de coléoptères,Coleoptera,Buprestidae,Anthaxia,millefolii,"Anthaxia millefolii (Fabricius, 1777)",Schafgarben-Prachtkäfer,CR,"B2ab(i,ii,iii,iv)",Nur in den Südalpen (Südtessin)
4 familles de coléoptères,Coleoptera,Buprestidae,Anthaxia,morio,"Anthaxia morio (Fabricius, 1792)",,LC,,
4 familles de coléoptères,Coleoptera,Buprestidae,Anthaxia,nigrojubata,"Anthaxia nigrojubata Roubal, 1913",,VU,B2a,"Nur im Mitteljura (BE, BL, JU), isolierte Schweizer Population"
4 familles de coléoptères,Coleoptera,Buprestidae,Anthaxia,nitidula,"Anthaxia nitidula (Linnaeus, 1758)",Kleiner Kirschbaum-Prachtkäfer,LC,,
4 familles de coléoptères,Coleoptera,Buprestidae,Anthaxia,podolica,"Anthaxia podolica Mannerheim, 1837",Bunter Eschen-Prachtkäfer,VU,"B2ab(iii,iv)",
4 familles de coléoptères,Coleoptera,Buprestidae,Anthaxia,quadripunctata,"Anthaxia quadripunctata (Linnaeus, 1758)",Vierpunkt-Nadelholz-Prachtkäfer,LC,,
4 familles de coléoptères,Coleoptera,Buprestidae,Anthaxia,salicis,"Anthaxia salicis (Fabricius, 1777)",Bunter Eichen-Prachtkäfer,NT,,
4 familles de coléoptères,Coleoptera,Buprestidae,Anthaxia,sepulchralis,"Anthaxia sepulchralis (Fabricius, 1801)",Braunhaariger Eckschild - Prachtkäfer,LC,,
4 familles de coléoptères,Coleoptera,Buprestidae,Anthaxia,suzannae,"Anthaxia suzannae Théry, 1942",,CR,"B2ab(i,ii,iii,iv)",Nur im Mittelland (Genferseeregion)
4 familles de coléoptères,Coleoptera,Buprestidae,Aphanisticus,elongatus,"Aphanisticus elongatus A. Villa & G. B. Villa, 1835",Seggenstengel-Prachtkäfer,DD,,
4 familles de coléoptères,Coleoptera,Buprestidae,Aphanisticus,emarginatus,"Aphanisticus emarginatus (A. G. Olivier, 1790)",Binsen-Prachtkäfer,DD,,
4 familles de coléoptères,Coleoptera,Buprestidae,Aphanisticus,pusillus,"Aphanisticus pusillus (A. G. Olivier, 1790)",Seggenblatt-Prachtkäfer,DD,,
4 familles de coléoptères,Coleoptera,Buprestidae,Buprestis,haemorrhoidalis,"Buprestis haemorrhoidalis Herbst, 1780",Erzfarbener Nadelholz-Prachtkäfer,NT,,
4 familles de coléoptères,Coleoptera,Buprestidae,Buprestis,novemmaculata,"Buprestis novemmaculata Linnaeus, 1767",Neunfleck-Nadelholz-Prachtkäfer,VU,B2a,Isolierte Schweizer Populationen
4 familles de coléoptères,Coleoptera,Buprestidae,Buprestis,octoguttata,"Buprestis octoguttata Linnaeus, 1758",Achtpunkt-Kiefern-Prachtkäfer,VU,B2ab(i),
4 familles de coléoptères,Coleoptera,Buprestidae,Buprestis,rustica,"Buprestis rustica Linnaeus, 1758",Bauern-Prachtkäfer,NT,,
4 familles de coléoptères,Coleoptera,Buprestidae,Chalcophora,mariana,"Chalcophora mariana (Linnaeus, 1758)",Marien-Prachtkäfer,EN,"B2ab(i,ii,iv)","Nur im Graubünden, isolierte Schweizer Population"
4 familles de coléoptères,Coleoptera,Buprestidae,Chrysobothris,affinis,"Chrysobothris affinis (Fabricius, 1794)",Goldpunkt-Laubholz-Prachtkäfer,LC,,
4 familles de coléoptères,Coleoptera,Buprestidae,Chrysobothris,chrysostigma,"Chrysobothris chrysostigma (Linnaeus, 1758)",Goldpunkt-Gebirgs-Prachtkäfer,NT,,
4 familles de coléoptères,Coleoptera,Buprestidae,Chrysobothris,solieri,"Chrysobothris solieri Gory & Laporte, 1837",Goldpunkt-Nadelholz-Prachtkäfer,VU,B2a,Isolierte Schweizer Populationen
4 familles de coléoptères,Coleoptera,Buprestidae,Coraebus,elatus,"Coraebus elatus (Fabricius, 1787)",Sonnenröschen-Prachtkäfer,EN,"B2ab(i,ii,iii,iv)",
4 familles de coléoptères,Coleoptera,Buprestidae,Coraebus,fasciatus,"Coraebus fasciatus (Villers, 1789)",Florentiner-Prachtkäfer,LC,,
4 familles de coléoptères,Coleoptera,Buprestidae,Coraebus,rubi,"Coraebus rubi (Linnaeus, 1767)",Grosser Brombeer-Prachtkäfer,VU,"B2ab(iii,iv)",Nur in den Südalpen (Südtessin)
4 familles de coléoptères,Coleoptera,Buprestidae,Coraebus,undatus,"Coraebus undatus (Fabricius, 1787)",Wellenbindiger Eichen-Prachtkäfer,EN,"B2ab(i,ii,iii,iv)",
4 familles de coléoptères,Coleoptera,Buprestidae,Dicerca,alni,"Dicerca alni (Fischer de Waldheim, 1824)",Grosser Erlen-Prachtkäfer,VU,"B2b(iii,iv)",Urwaldrelikt
4 familles de coléoptères,Coleoptera,Buprestidae,Dicerca,berolinensis,"Dicerca berolinensis (Herbst, 1779)",Berliner Prachtkäfer,CR,"B2ab(i,ii,iii,iv)",Urwaldrelikt
